Factory,Product Name,Region,Ship Mode,Orders,Units,Sales,Gross_Profit,Avg_Lead_Time,Lead_Time_SD,Profit_Margin,Cluster
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Interior,First Class,54,207,722.4300000000001,515.4300000000001,1351.3272727272727,269.6330877696615,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Interior,Same Day,17,76,265.24,189.24,1430.2,213.21585306913764,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Interior,Second Class,87,408,1423.92,1015.92,1317.377358490566,245.45454250198955,0.7134670487106016,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Interior,Standard Class,227,1003,3500.4700000000003,2497.47,1320.9436090225563,267.30223268897464,0.7134670487106016,1
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Pacific,First Class,93,374,1305.26,931.26,1304.0089285714287,284.06767039035594,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Pacific,Same Day,25,101,352.49,251.49,1354.6666666666667,266.09828795122826,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Pacific,Second Class,80,303,1057.47,754.47,1311.9673913043478,262.15143057279266,0.7134670487106017,0
Lot's O' Nuts,Wonka Bar - Nutty Crunch Surprise,Pacific,Standard Class,283,1310,4571.900000000001,3261.9,1298.235119047619,269.705867570168,0.7134670487106016,1
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Atlantic,First Class,93,415,1494.0,1037.5,1327.044642857143,269.6948689044431,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Atlantic,Same Day,27,120,432.0,300.0,1237.0294117647059,275.37142798619954,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Atlantic,Second Class,96,421,1515.6000000000001,1052.5,1330.7731092436975,251.84883941528722,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Atlantic,Standard Class,295,1351,4863.6,3377.5,1295.8,254.6213805979915,0.6944444444444444,1
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Gulf,First Class,35,177,637.2,442.5,1372.3829787234042,282.0194684300059,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Gulf,Same Day,9,41,147.6,102.5,1299.6666666666667,188.4348613439057,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Gulf,Second Class,48,230,828.0,575.0,1321.2166666666667,264.7980421138809,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Gulf,Standard Class,159,741,2667.6,1852.5,1299.2894736842106,260.6340567324655,0.6944444444444444,1
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Interior,First Class,48,235,846.0,587.5,1363.0535714285713,272.04674863258055,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Interior,Same Day,14,57,205.20000000000002,142.5,1415.4,185.5958743383823,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Interior,Second Class,72,335,1206.0,837.5,1287.8315789473684,255.06877056112862,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Interior,Standard Class,246,1096,3945.6,2740.0,1332.8395904436861,252.64325558307027,0.6944444444444444,1
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Pacific,First Class,92,444,1598.4,1110.0,1361.8053097345132,260.86657982876034,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Pacific,Same Day,33,140,504.0,350.0,1354.2558139534883,250.24274814888707,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Pacific,Second Class,121,488,1756.8,1220.0,1287.861111111111,262.25367026599963,0.6944444444444444,0
Lot's O' Nuts,Wonka Bar -Scrumdiddlyumptious,Pacific,Standard Class,314,1382,4975.2,3455.0,1336.33423180593,266.203389805493,0.6944444444444444,1
Secret Factory,Everlasting Gobstopper,Gulf,Standard Class,1,4,40.0,32.0,1273.0,0.0,0.8,0
Secret Factory,Everlasting Gobstopper,Interior,Standard Class,1,3,30.0,24.0,1641.0,0.0,0.8,0
Secret Factory,Lickable Wallpaper,Atlantic,First Class,2,2,40.0,20.0,1454.5,259.50818869546293,0.5,0
Secret Factory,Lickable Wallpaper,Atlantic,Second Class,1,1,20.0,10.0,1273.0,0.0,0.5,0
Secret Factory,Lickable Wallpaper,Interior,Standard Class,1,1,20.0,10.0,1641.0,0.0,0.5,0
Secret Factory,Wonka Gum,Atlantic,First Class,8,38,47.5,24.7,1226.0,305.22216732827815,0.52,0
Secret Factory,Wonka Gum,Atlantic,Same Day,1,7,8.75,4.55,1269.0,0.0,0.52,0
Secret Factory,Wonka Gum,Atlantic,Second Class,3,9,11.25,5.85,1516.0,210.44476710053877,0.52,0
Secret Factory,Wonka Gum,Atlantic,Standard Class,24,115,143.75,74.75,1317.88,285.4896845772189,0.52,0
Secret Factory,Wonka Gum,Gulf,First Class,4,23,28.75,14.95,1180.75,350.15746457843795,0.52,0
Secret Factory,Wonka Gum,Gulf,Same Day,1,4,5.0,2.6,1635.0,0.0,0.52,0
Secret Factory,Wonka Gum,Gulf,Second Class,8,36,45.0,23.400000000000002,1435.6666666666667,265.72542219366215,0.52,0
Secret Factory,Wonka Gum,Gulf,Standard Class,12,57,71.25,37.05,1304.75,328.99519891495515,0.5199999999999999,0
Secret Factory,Wonka Gum,Interior,First Class,9,38,47.5,24.7,1271.6666666666667,365.62617521178646,0.52,0
Secret Factory,Wonka Gum,Interior,Same Day,2,9,11.25,5.85,1452.0,258.8010819142764,0.52,0
Secret Factory,Wonka Gum,Interior,Second Class,4,17,21.25,11.05,1090.0,210.73680267100957,0.52,0
Secret Factory,Wonka Gum,Interior,Standard Class,14,48,60.0,31.2,1274.0714285714287,287.0168754850259,0.52,0
Secret Factory,Wonka Gum,Pacific,First Class,6,13,16.25,8.45,1393.3333333333333,298.6748510783368,0.5199999999999999,0
Secret Factory,Wonka Gum,Pacific,Same Day,3,14,17.5,9.1,1269.6666666666667,365.5001139990702,0.52,0
Secret Factory,Wonka Gum,Pacific,Second Class,8,25,31.25,16.25,1363.625,257.9445884570671,0.52,0
Secret Factory,Wonka Gum,Pacific,Standard Class,11,25,31.25,16.25,1241.0,303.53484149270247,0.52,0
Sugar Shack,Fizzy Lifting Drinks,Atlantic,First Class,1,4,15.0,9.0,1637.0,0.0,0.6,0
Sugar Shack,Fizzy Lifting Drinks,Atlantic,Standard Class,1,5,18.75,11.25,1274.0,0.0,0.6,0
Sugar Shack,Fizzy Lifting Drinks,Gulf,Standard Class,1,4,15.0,9.0,909.0,0.0,0.6,0
Sugar Shack,Fizzy Lifting Drinks,Interior,First Class,1,2,7.5,4.5,907.0,0.0,0.6,0
Sugar Shack,Fizzy Lifting Drinks,Interior,Standard Class,1,3,11.25,6.75,1640.0,0.0,0.6,0
Sugar Shack,Fizzy Lifting Drinks,Pacific,Standard Class,1,3,11.25,6.75,1274.0,0.0,0.6,0
Sugar Shack,Fun Dip,Atlantic,Standard Class,1,4,6.0,2.4,1275.0,0.0,0.39999999999999997,0
Sugar Shack,Fun Dip,Gulf,Second Class,1,1,1.5,0.6,1272.0,0.0,0.39999999999999997,0
Sugar Shack,Fun Dip,Interior,Second Class,1,3,4.5,1.8,1271.0,0.0,0.4,0
Sugar Shack,Laffy Taffy,Atlantic,First Class,1,1,1.99,1.24,1271.0,0.0,0.6231155778894473,0
Sugar Shack,Laffy Taffy,Atlantic,Same Day,1,4,7.96,4.96,1635.0,0.0,0.6231155778894473,0
Sugar Shack,Laffy Taffy,Atlantic,Standard Class,4,9,17.91,11.16,1457.75,212.17818769452563,0.6231155778894473,0
Sugar Shack,Laffy Taffy,Gulf,Standard Class,2,11,21.89,13.64,1092.0,258.8010819142764,0.6231155778894473,0
Sugar Shack,Laffy Taffy,Interior,First Class,1,1,1.99,1.24,1272.0,0.0,0.6231155778894473,0
Sugar Shack,Laffy Taffy,Pacific,Standard Class,1,1,1.99,1.24,1638.0,0.0,0.6231155778894473,0
Sugar Shack,Nerds,Atlantic,Standard Class,4,10,15.0,7.0,1274.0,422.0434416818566,0.4666666666666667,0
Sugar Shack,SweeTARTS,Atlantic,Second Class,1,5,7.5,3.5,1640.0,0.0,0.4666666666666667,0
Sugar Shack,SweeTARTS,Atlantic,Standard Class,4,19,28.5,13.3,1274.5,298.0229297665981,0.4666666666666667,0
Sugar Shack,SweeTARTS,Interior,Second Class,1,2,3.0,1.4,1272.0,0.0,0.4666666666666666,0
Sugar Shack,SweeTARTS,Interior,Standard Class,3,11,16.5,7.699999999999999,1395.6666666666667,212.46489906178226,0.4666666666666666,0
Sugar Shack,SweeTARTS,Pacific,Second Class,1,4,6.0,2.8,1638.0,0.0,0.4666666666666666,0
The Other Factory,Hair Toffee,Atlantic,Standard Class,1,5,22.5,17.5,1639.0,0.0,0.7777777777777778,0
The Other Factory,Hair Toffee,Gulf,Same Day,1,2,9.0,7.0,1635.0,0.0,0.7777777777777778,0
The Other Factory,Hair Toffee,Pacific,First Class,1,5,22.5,17.5,1272.0,0.0,0.7777777777777778,0
The Other Factory,Hair Toffee,Pacific,Standard Class,1,5,22.5,17.5,1275.0,0.0,0.7777777777777778,0
The Other Factory,Kazookles,Atlantic,First Class,3,8,26.0,2.0,1150.0,210.44476710053877,0.07692307692307693,0
The Other Factory,Kazookles,Atlantic,Same Day,2,6,19.5,1.5,1269.0,0.0,0.07692307692307693,0
The Other Factory,Kazookles,Atlantic,Second Class,6,19,61.75,4.75,1211.1666666666667,276.0915910828627,0.07692307692307693,0
The Other Factory,Kazookles,Atlantic,Standard Class,14,37,120.25,9.25,1274.3333333333333,276.67145721612695,0.07692307692307693,0
The Other Factory,Kazookles,Gulf,First Class,4,13,42.25,3.25,1180.75,350.15746457843795,0.07692307692307693,0
The Other Factory,Kazookles,Gulf,Same Day,2,9,29.25,2.25,1086.5,258.0939751330898,0.07692307692307693,0
The Other Factory,Kazookles,Gulf,Second Class,3,8,26.0,2.0,1150.3333333333333,210.73522091319558,0.07692307692307693,0
The Other Factory,Kazookles,Gulf,Standard Class,5,19,61.75,4.75,1420.0,200.377144405244,0.07692307692307693,0
The Other Factory,Kazookles,Interior,First Class,2,7,22.75,1.75,1272.0,517.6021638285528,0.07692307692307693,0
The Other Factory,Kazookles,Interior,Second Class,2,6,19.5,1.5,1272.0,517.6021638285528,0.07692307692307693,0
The Other Factory,Kazookles,Interior,Standard Class,5,11,35.75,2.75,1127.6,200.0119996400216,0.07692307692307693,0
The Other Factory,Kazookles,Pacific,First Class,5,15,48.75,3.75,1418.0,200.8332641770282,0.07692307692307693,0
The Other Factory,Kazookles,Pacific,Same Day,2,7,22.75,1.75,1452.0,258.8010819142764,0.07692307692307693,0
The Other Factory,Kazookles,Pacific,Second Class,8,30,97.5,7.5,1409.0,272.4581226013064,0.07692307692307693,0
The Other Factory,Kazookles,Pacific,Standard Class,11,32,104.0,8.0,1183.0833333333333,227.3185423518497,0.07692307692307693,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Atlantic,First Class,65,261,848.25,550.71,1297.4880952380952,225.4564042514981,0.6492307692307693,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Atlantic,Same Day,29,139,451.75,293.28999999999996,1289.5,230.271206561803,0.6492307692307692,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Atlantic,Second Class,86,372,1209.0,784.92,1335.2095238095237,223.5959480521685,0.6492307692307692,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Atlantic,Standard Class,329,1550,5037.5,3270.5,1306.084745762712,262.7218804935066,0.6492307692307693,1
Wicked Choccy's,Wonka Bar - Milk Chocolate,Gulf,First Class,51,188,611.0,396.68,1309.2931034482758,253.24345187292693,0.6492307692307693,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Gulf,Same Day,14,66,214.5,139.26,1171.8,257.1192608221218,0.6492307692307692,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Gulf,Second Class,59,306,994.5,645.66,1304.7794117647059,273.31381807710994,0.6492307692307692,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Gulf,Standard Class,157,782,2541.5,1650.02,1289.7068062827225,264.6741152232691,0.6492307692307693,1
Wicked Choccy's,Wonka Bar - Milk Chocolate,Interior,First Class,67,261,848.25,550.71,1357.7916666666667,284.2897221616718,0.6492307692307693,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Interior,Same Day,21,78,253.5,164.57999999999998,1342.4,279.2098971502741,0.6492307692307692,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Interior,Second Class,79,379,1231.75,799.6899999999999,1326.2083333333333,259.6401930067092,0.6492307692307692,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Interior,Standard Class,256,1109,3604.25,2339.99,1326.1749174917493,265.16956794876705,0.6492307692307692,1
Wicked Choccy's,Wonka Bar - Milk Chocolate,Pacific,First Class,77,361,1173.25,761.71,1349.8469387755101,268.859843610005,0.6492307692307693,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Pacific,Same Day,25,109,354.25,229.99,1304.8064516129032,272.9218959525282,0.6492307692307693,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Pacific,Second Class,107,521,1693.25,1099.31,1345.1221374045801,273.6227055046862,0.6492307692307692,0
Wicked Choccy's,Wonka Bar - Milk Chocolate,Pacific,Standard Class,340,1631,5300.75,3441.41,1314.5375,272.21390415956773,0.6492307692307692,1
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Atlantic,First Class,74,310,1162.5,759.5,1351.3908045977012,258.2573692107751,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Atlantic,Same Day,22,107,401.25,262.15,1215.0740740740741,242.03526855619873,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Atlantic,Second Class,96,484,1815.0,1185.8,1323.3524590163934,279.46125626682823,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Atlantic,Standard Class,267,1133,4248.75,2775.85,1324.748427672956,254.68289105772277,0.6533333333333333,1
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Gulf,First Class,36,152,570.0,372.40000000000003,1324.8048780487804,277.66240468527553,0.6533333333333334,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Gulf,Same Day,12,44,165.0,107.8,1293.5333333333333,217.00719759842957,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Gulf,Second Class,52,242,907.5,592.9,1302.3934426229507,285.64869325149067,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Gulf,Standard Class,164,757,2838.75,1854.65,1340.0284360189573,243.4252777634419,0.6533333333333333,1
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Interior,First Class,44,201,753.75,492.45,1363.0384615384614,297.1602170044566,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Interior,Same Day,23,89,333.75,218.05,1399.892857142857,248.0579889320557,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Interior,Second Class,65,312,1170.0,764.4,1327.35,247.13380273790202,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Interior,Standard Class,242,1036,3885.0,2538.2,1297.2369337979094,263.7180092851733,0.6533333333333333,1
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Pacific,First Class,83,370,1387.5,906.5,1347.53125,270.0274041892004,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Pacific,Same Day,36,185,693.75,453.25,1407.4888888888888,261.9627508411888,0.6533333333333333,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Pacific,Second Class,106,447,1676.25,1095.15,1347.2868852459017,261.3838720864629,0.6533333333333334,0
Wicked Choccy's,Wonka Bar - Triple Dazzle Caramel,Pacific,Standard Class,345,1567,5876.25,3839.15,1315.1873479318735,257.1131409597124,0.6533333333333333,1
